id,price_doc
30474,5242059.20 
30475,8718912.00 
30476,5884500.00 
30477,6617020.90 
30478,4935775.20 
30479,9682561.60 
30480,4518716.10 
30481,4371717.60 
30482,5286547.40 
30483,4787168.10 
30484,6195955.20 
30485,4814270.80 
30486,3943226.40 
30487,4414261.00 
30488,6662858.30 
30489,5608185.90 
30490,21137514.10 
30491,25616668.30 
30492,6282635.60 
30493,14421021.20 
30494,8175336.40 
30495,9635912.10 
30496,8370747.80 
30497,8319526.30 
30498,5017500.00 
30499,8031709.40 
30500,13883404.40 
30501,7297873.30 
30502,3676414.70 
30503,7061213.00 
30504,6440000.00 
30505,10983359.10 
30506,2785198.60 
30507,4828610.90 
30508,6077791.90 
30509,9370742.00 
30510,9340492.30 
30511,6766430.00 
30512,6635777.10 
30513,4534983.50 
30514,3696331.80 
30515,9692231.10 
30516,5844163.60 
30517,11530434.00 
30518,6775000.00 
30519,4622500.00 
30520,4175150.00 
30521,5597031.20 
30522,7995739.80 
30523,5122500.00 
30524,11198663.40 
30525,13031106.80 
30526,5280463.20 
30527,5321040.50 
30528,5320000.00 
30529,6107500.00 
30530,6600794.90 
30531,9533330.60 
30532,4140763.30 
30533,12344990.00 
30534,7655500.70 
30535,9117939.10 
30536,5215501.00 
30537,11331413.20 
30538,5634111.30 
30539,12414114.30 
30540,9340492.30 
30541,7482586.00 
30542,2144563.00 
30543,6060000.00 
30544,5705000.00 
30545,7470501.80 
30546,3957362.30 
30547,11059308.80 
30548,4655543.40 
30549,5313316.90 
30550,10898843.80 
30551,5169899.50 
30552,2127456.20 
30553,6976898.00 
30554,11608744.90 
30555,6582893.80 
30556,9833822.10 
30557,7452500.00 
30558,10049440.90 
30559,7372407.50 
30560,6279336.00 
30561,8036803.30 
30562,14467903.00 
30563,4020799.10 
30564,6468370.00 
30565,7660750.20 
30566,6950373.80 
30567,2144563.00 
30568,11289555.30 
30569,10095860.00 
30570,6904897.50 
30571,8847708.30 
30572,5157539.30 
30573,6195955.20 
30574,6742500.00 
30575,7449000.00 
30576,4414261.00 
30577,5182500.00 
30578,2947113.30 
30579,7174087.00 
30580,4233515.00 
30581,5132500.00 
30582,12184460.90 
30583,7655500.70 
30584,4655000.00 
30585,3421586.00 
30586,10103055.90 
30587,5612237.20 
30588,7556493.00 
30589,6103508.60 
30590,14076642.00 
30591,5202899.80 
30592,7724721.80 
30593,8370747.80 
30594,5629718.30 
30595,6009117.00 
30596,6459424.40 
30597,6195955.20 
30598,9356109.80 
30599,12178938.70 
30600,5536597.90 
30601,5883237.00 
30602,2144563.00 
30603,12778898.80 
30604,5087500.00 
30605,6180151.90 
30606,20568103.40 
30607,7636616.80 
30608,9550534.50 
30609,5643362.40 
30610,3464669.80 
30611,6077791.90 
30612,8270000.00 
30613,8200624.20 
30614,16438981.20 
30615,7613750.00 
30616,6077791.90 
30617,10122828.80 
30618,5165000.00 
30619,4398599.80 
30620,2571378.50 
30621,9348342.10 
30622,9035000.00 
30623,5976000.00 
30624,6622061.90 
30625,7703510.60 
30626,6502500.00 
30627,7922500.00 
30628,6195955.20 
30629,5697748.30 
30630,4541908.20 
30631,6305250.30 
30632,5026134.70 
30633,4748500.00 
30634,9883750.00 
30635,9340492.30 
30636,4595474.00 
30637,9340492.30 
30638,6639450.00 
30639,8405525.00 
30640,4904726.40 
30641,7667248.00 
30642,6563986.30 
30643,8476850.50 
30644,9356109.80 
